[2025-07-09 22:42:21,804] [INFO] [django.server] "GET /recruiters/api/create-position-form/ HTTP/1.1" 200 547500
[2025-07-09 22:42:24,621] [INFO] [django.server] "POST /recruiters/position-manager/ HTTP/1.1" 302 0
[2025-07-09 22:42:24,705] [INFO] [django.server] "GET /recruiters/position-manager/ HTTP/1.1" 200 38420
[2025-07-09 22:42:24,784] [INFO] [django.server] - Broken pipe from ('127.0.0.1', 51232)
[2025-07-09 22:42:24,833] [INFO] [django.server] "GET /recruiters/position-manager/ HTTP/1.1" 200 38420
[2025-07-09 22:42:32,874] [INFO] [django.server] "POST /recruiters/position-manager/ HTTP/1.1" 200 18995
[2025-07-09 22:42:33,301] [INFO] [django.server] "GET /recruiters/api/create-position-form/ HTTP/1.1" 200 547500
[2025-07-09 22:42:40,925] [WARNING] [django.request] Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-07-09 22:42:40,925] [WARNING] [django.server] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 7058
[2025-07-09 22:42:43,972] [INFO] [django.server] "POST /recruiters/position-manager/ HTTP/1.1" 200 18995
[2025-07-09 22:42:44,582] [INFO] [django.server] "GET /recruiters/api/create-position-form/ HTTP/1.1" 200 547500
[2025-07-09 22:42:47,323] [INFO] [django.server] "POST /recruiters/position-manager/ HTTP/1.1" 302 0
[2025-07-09 22:42:47,366] [INFO] [django.server] "GET /recruiters/position-manager/ HTTP/1.1" 200 38420
[2025-07-09 22:42:47,419] [INFO] [django.server] - Broken pipe from ('127.0.0.1', 51258)
[2025-07-09 22:42:47,433] [INFO] [django.server] "GET /recruiters/position-manager/ HTTP/1.1" 200 38420
[2025-07-09 22:42:47,782] [INFO] [django.server] "GET /static/css/recruiters/top-nav.css HTTP/1.1" 200 2535
[2025-07-09 22:42:47,786] [INFO] [django.server] "GET /static/css/recruiters/side-nav-5.css HTTP/1.1" 200 12965
[2025-07-09 22:42:47,791] [INFO] [django.server] "GET /static/css/recruiters/footer.css HTTP/1.1" 200 3156
[2025-07-09 22:42:47,797] [INFO] [django.server] "GET /static/css/error.css HTTP/1.1" 200 3545
[2025-07-09 22:42:47,801] [INFO] [django.server] "GET /static/css/notification.css HTTP/1.1" 200 2136
[2025-07-09 22:42:47,803] [INFO] [django.server] "GET /static/css/model.css HTTP/1.1" 200 8230
[2025-07-09 22:42:47,806] [INFO] [django.server] "GET /static/css/loading.css HTTP/1.1" 200 1014
[2025-07-09 22:42:47,809] [INFO] [django.server] "GET /static/css/recruiters/post-left.css HTTP/1.1" 200 4591
[2025-07-09 22:42:47,812] [INFO] [django.server] "GET /static/css/recruiters/post-right.css HTTP/1.1" 200 8969
[2025-07-09 22:42:47,815] [INFO] [django.server] "GET /static/css/recruiters/post-filter-mobile.css HTTP/1.1" 200 12354
[2025-07-09 22:42:47,817] [INFO] [django.server] "GET /static/css/recruiters/table.css HTTP/1.1" 200 5591
[2025-07-09 22:42:47,824] [WARNING] [django.request] Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-07-09 22:42:47,824] [WARNING] [django.server] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 7058
[2025-07-09 22:42:47,826] [INFO] [django.server] - Broken pipe from ('127.0.0.1', 51233)
[2025-07-09 22:42:47,827] [INFO] [django.server] "GET /static/img/logo.svg HTTP/1.1" 200 21415
[2025-07-09 22:42:47,829] [INFO] [django.server] "GET /static/js/recruiters/position-manager.js HTTP/1.1" 200 1392
[2025-07-09 22:42:47,831] [INFO] [django.server] "GET /static/js/cookie/js.cookie.min.js HTTP/1.1" 200 1731
[2025-07-09 22:42:47,851] [INFO] [django.server] - Broken pipe from ('127.0.0.1', 51257)
[2025-07-09 22:42:47,871] [INFO] [django.server] - Broken pipe from ('127.0.0.1', 51261)
[2025-07-09 22:42:47,898] [INFO] [django.server] "GET /static/css/recruiters/body.css HTTP/1.1" 200 4892
[2025-07-09 22:42:47,902] [INFO] [django.server] "GET /static/css/recruiters/side-nav-1.css HTTP/1.1" 200 8138
[2025-07-09 22:42:47,910] [INFO] [django.server] "GET /static/css/recruiters/side-nav-4.css HTTP/1.1" 200 5067
[2025-07-09 22:42:47,915] [INFO] [django.server] "GET /static/css/recruiters/side-nav-2.css HTTP/1.1" 200 5059
[2025-07-09 22:42:47,922] [INFO] [django.server] "GET /static/css/recruiters/side-nav-3.css HTTP/1.1" 200 5013
[2025-07-09 22:42:47,926] [INFO] [django.server] "GET /static/js/recruiters/post.js HTTP/1.1" 200 2783
[2025-07-09 22:42:47,929] [INFO] [django.server] "GET /static/js/recruiters/table.js HTTP/1.1" 200 1049
[2025-07-09 22:42:47,932] [INFO] [django.server] "GET /static/js/recruiters/post-form-submit.js HTTP/1.1" 200 2610
[2025-07-09 22:42:47,935] [INFO] [django.server] "GET /static/js/recruiters/nav.js HTTP/1.1" 200 5681
[2025-07-09 22:42:47,939] [INFO] [django.server] "GET /static/js/error.js HTTP/1.1" 200 3832
[2025-07-09 22:42:47,943] [INFO] [django.server] "GET /static/js/jobseeker/notification.js HTTP/1.1" 200 1030
[2025-07-09 22:42:47,946] [INFO] [django.server] "GET /static/js/modal.js HTTP/1.1" 200 2299
[2025-07-09 22:42:47,950] [INFO] [django.server] "GET /static/js/loading.js HTTP/1.1" 200 1169
[2025-07-09 22:42:47,954] [INFO] [django.server] "GET /static/js/htmx/2_0_5.min.js HTTP/1.1" 200 51019
[2025-07-09 22:43:15,759] [INFO] [django.server] "GET /recruiters/position-manager/ HTTP/1.1" 200 38389
[2025-07-09 22:43:15,776] [INFO] [django.server] "GET /static/css/recruiters/body.css HTTP/1.1" 200 4892
[2025-07-09 22:43:15,781] [WARNING] [django.request] Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-07-09 22:43:15,783] [WARNING] [django.server] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 7058
[2025-07-09 22:43:15,785] [INFO] [django.server] "GET /static/css/recruiters/top-nav.css HTTP/1.1" 200 2535
[2025-07-09 22:43:15,785] [INFO] [django.server] "GET /static/css/recruiters/side-nav-2.css HTTP/1.1" 200 5059
[2025-07-09 22:43:15,785] [INFO] [django.server] "GET /static/css/recruiters/side-nav-4.css HTTP/1.1" 200 5067
[2025-07-09 22:43:15,786] [INFO] [django.server] "GET /static/css/recruiters/side-nav-1.css HTTP/1.1" 200 8138
[2025-07-09 22:43:15,786] [INFO] [django.server] "GET /static/css/recruiters/side-nav-3.css HTTP/1.1" 200 5013
[2025-07-09 22:43:15,787] [INFO] [django.server] "GET /static/css/recruiters/side-nav-5.css HTTP/1.1" 200 12965
[2025-07-09 22:43:15,788] [INFO] [django.server] "GET /static/css/recruiters/footer.css HTTP/1.1" 200 3156
[2025-07-09 22:43:15,793] [INFO] [django.server] "GET /static/css/error.css HTTP/1.1" 200 3545
[2025-07-09 22:43:15,793] [INFO] [django.server] "GET /static/css/recruiters/post-right.css HTTP/1.1" 200 8969
[2025-07-09 22:43:15,794] [INFO] [django.server] "GET /static/css/model.css HTTP/1.1" 200 8230
[2025-07-09 22:43:15,794] [INFO] [django.server] "GET /static/css/notification.css HTTP/1.1" 200 2136
[2025-07-09 22:43:15,794] [INFO] [django.server] "GET /static/css/recruiters/post-left.css HTTP/1.1" 200 4591
[2025-07-09 22:43:15,794] [INFO] [django.server] "GET /static/css/loading.css HTTP/1.1" 200 1014
[2025-07-09 22:43:15,798] [INFO] [django.server] "GET /static/css/recruiters/table.css HTTP/1.1" 200 5591
[2025-07-09 22:43:15,799] [INFO] [django.server] "GET /static/css/recruiters/post-filter-mobile.css HTTP/1.1" 200 12354
[2025-07-09 22:43:15,799] [INFO] [django.server] "GET /static/js/recruiters/position-manager.js HTTP/1.1" 200 1392
[2025-07-09 22:43:15,799] [INFO] [django.server] "GET /static/img/logo.svg HTTP/1.1" 200 21415
[2025-07-09 22:43:15,803] [INFO] [django.server] "GET /static/js/cookie/js.cookie.min.js HTTP/1.1" 200 1731
[2025-07-09 22:43:15,889] [INFO] [django.server] "GET /static/js/recruiters/post.js HTTP/1.1" 200 2783
[2025-07-09 22:43:15,892] [INFO] [django.server] "GET /static/js/recruiters/table.js HTTP/1.1" 200 1049
[2025-07-09 22:43:15,951] [INFO] [django.server] "GET /static/js/recruiters/post-form-submit.js HTTP/1.1" 200 2610
[2025-07-09 22:43:15,952] [INFO] [django.server] "GET /static/js/recruiters/nav.js HTTP/1.1" 200 5681
[2025-07-09 22:43:15,958] [INFO] [django.server] "GET /static/js/loading.js HTTP/1.1" 200 1169
[2025-07-09 22:43:15,958] [INFO] [django.server] "GET /static/js/modal.js HTTP/1.1" 200 2299
[2025-07-09 22:43:15,958] [INFO] [django.server] "GET /static/js/jobseeker/notification.js HTTP/1.1" 200 1030
[2025-07-09 22:43:15,958] [INFO] [django.server] "GET /static/js/error.js HTTP/1.1" 200 3832
[2025-07-09 22:43:15,959] [INFO] [django.server] "GET /static/js/htmx/2_0_5.min.js HTTP/1.1" 200 51019
[2025-07-09 22:43:16,204] [WARNING] [django.request] Not Found: /favicon.ico
[2025-07-09 22:43:16,204] [WARNING] [django.server] "GET /favicon.ico HTTP/1.1" 404 6947
[2025-07-09 22:43:18,191] [INFO] [django.server] "POST /recruiters/position-manager/ HTTP/1.1" 200 18995
[2025-07-09 22:43:18,379] [INFO] [django.server] "GET /recruiters/api/create-position-form/ HTTP/1.1" 200 547500
[2025-07-09 22:43:20,913] [INFO] [django.server] "POST /recruiters/position-manager/ HTTP/1.1" 302 0
[2025-07-09 22:43:20,970] [INFO] [django.server] "GET /recruiters/position-manager/ HTTP/1.1" 200 38389
[2025-07-09 22:43:20,993] [INFO] [django.server] "GET /static/js/cookie/js.cookie.min.js HTTP/1.1" 200 1731
[2025-07-09 22:43:20,995] [INFO] [django.server] "GET /static/js/recruiters/position-manager.js HTTP/1.1" 200 1392
